student_id,country,grade_math,grade_science,grade_english,Final_score
1,Venezuela,68,80,15,54
2,Bulgaria,29,30,60,39
3,New Zealand,76,0,55,43
4,China,82,88,90,86
5,China,77,23,11,37
6,China,44,78,30,50
7,Malta,100,61,90,83
8,China,98,81,59,79
9,El Salvador,35,51,41,42
10,Argentina,46,38,16,33
11,Macedonia,89,40,65,64
12,Mexico,80,47,53,60
13,France,95,30,49,58
14,Argentina,60,89,12,53
15,Brazil,61,27,32,40
16,Guatemala,56,2,41,33
17,Sweden,23,72,90,61
18,Slovenia,78,98,95,90
19,China,28,40,3,23
20,Indonesia,100,6,55,53
21,Vietnam,63,81,12,52
22,Croatia,38,67,74,59
23,Russia,82,88,27,65
24,Philippines,71,6,26,34
25,China,78,97,8,61
26,China,20,34,76,43
27,Portugal,51,60,18,43
28,China,87,94,92,91
29,China,76,66,68,70
30,China,32,62,80,58
31,Portugal,41,15,93,49
32,Portugal,90,95,63,82
33,Indonesia,87,4,74,55
34,Lithuania,12,55,88,51
35,Russia,0,14,69,27
36,China,31,55,9,31
37,Philippines,81,33,31,48
38,Philippines,24,18,16,19
39,France,41,1,12,18
40,Poland,97,66,64,75
41,Indonesia,73,1,96,56
42,South Korea,62,41,74,59
43,Kenya,87,92,50,76
44,Paraguay,7,70,79,52
45,Curacao,19,47,90,52
46,Portugal,53,57,21,43
47,Mexico,16,67,12,31
48,Argentina,69,10,60,46
49,Brazil,89,5,99,64
50,Argentina,90,16,44,50
51,China,77,78,13,56
52,Palestinian Territory,54,28,41,41
53,Japan,59,70,82,70
54,Russia,86,10,35,43
55,Syria,71,22,59,50
56,China,45,47,40,44
57,Czech Republic,61,31,52,48
58,Croatia,76,43,36,51
59,Philippines,98,43,93,78
60,Germany,21,65,91,59
61,France,82,34,18,44
62,South Africa,61,26,33,40
63,Kenya,82,35,16,44
64,Indonesia,39,94,83,72
65,Taiwan,6,44,11,20
66,Czech Republic,62,90,39,63
67,Philippines,71,78,16,55
68,China,91,64,63,72
69,Afghanistan,100,27,54,60
70,Russia,34,57,63,51
71,Syria,21,16,63,33
72,Japan,31,65,26,40
73,Indonesia,68,33,60,53
74,Indonesia,9,91,29,43
75,Philippines,79,2,82,54
76,Lithuania,10,61,86,52
77,Russia,83,81,20,61
78,Brazil,34,20,71,41
79,Portugal,31,48,5,28
80,Portugal,26,15,51,30
81,Russia,81,72,51,68
82,Azerbaijan,13,27,62,34
83,China,44,78,55,59
84,China,79,18,29,42
85,Russia,69,96,50,71
86,Portugal,62,99,6,55
87,Poland,95,46,73,71
88,United States,37,47,76,53
89,Czech Republic,74,90,5,56
90,Azerbaijan,22,25,68,38
91,Philippines,89,88,12,63
92,Nigeria,37,18,43,32
93,Panama,3,51,4,19
94,Sri Lanka,91,88,41,73
95,Indonesia,13,10,57,26
96,China,38,81,84,67
97,Russia,94,49,31,58
98,Ukraine,36,81,53,56
99,Indonesia,67,55,13,45
100,Republic of the Congo,84,28,57,56
101,Portugal,44,90,68,67
102,Greece,60,34,71,55
103,Poland,39,18,3,20
104,Thailand,22,68,70,53
105,Philippines,12,31,4,15
106,Portugal,45,85,47,59
107,Philippines,24,38,31,31
108,Brazil,37,40,50,42
109,China,92,45,61,66
110,Poland,55,43,72,56
111,Indonesia,47,33,7,29
112,Portugal,16,26,42,28
113,Russia,48,79,11,46
114,Sweden,72,76,41,63
115,Philippines,59,70,80,69
116,Kazakhstan,4,73,19,32
117,Indonesia,57,74,92,74
118,Iran,20,16,1,12
119,China,73,42,28,47
120,Sweden,26,40,19,28
121,Philippines,17,95,71,61
122,Ukraine,79,67,63,69
123,Brazil,65,90,72,75
124,Mali,35,70,0,35
125,Czech Republic,22,4,60,28
126,Russia,94,2,78,58
127,Poland,35,69,12,38
128,Vietnam,16,31,25,24
129,Peru,9,7,48,21
130,Latvia,55,52,87,64
131,Portugal,63,14,99,58
132,Japan,8,60,42,36
133,China,64,28,97,63
134,France,42,92,11,48
135,Portugal,86,44,20,50
136,Finland,37,86,53,58
137,Brazil,61,3,35,33
138,Colombia,67,94,70,77
139,South Africa,60,67,79,68
140,Portugal,17,78,69,54
141,United States,15,78,70,54
142,Sweden,17,49,27,31
143,Indonesia,3,73,20,32
144,Canada,18,35,100,51
145,Luxembourg,7,30,94,43
146,Russia,65,28,36,43
147,Brazil,40,2,91,44
148,Russia,49,41,36,42
149,China,50,5,99,51
150,Ukraine,19,84,55,52
151,Philippines,99,96,77,90
152,China,94,26,68,62
153,Russia,66,1,80,49
154,Mexico,61,14,98,57
155,Philippines,78,94,34,68
156,China,26,1,9,12
157,Poland,20,95,77,64
158,Peru,94,32,85,70
159,Albania,13,5,48,22
160,Peru,5,88,47,46
161,China,6,40,56,34
162,Indonesia,31,54,83,56
163,China,50,43,93,62
164,Reunion,78,41,10,43
165,Guatemala,91,33,83,69
166,Portugal,34,13,38,28
167,China,88,89,14,63
168,Indonesia,54,56,0,36
169,Czech Republic,83,41,76,66
170,Brazil,73,41,65,59
171,Argentina,19,2,90,37
172,Poland,8,43,47,32
173,Panama,30,48,40,39
174,China,24,25,20,23
175,Iraq,55,45,14,38
176,Portugal,68,28,20,38
177,Poland,15,30,81,42
178,Indonesia,77,69,96,80
179,Brazil,31,31,14,25
180,China,56,75,24,51
181,Indonesia,89,35,33,52
182,Sri Lanka,44,64,79,62
183,Vietnam,86,91,99,92
184,United States,6,35,16,19
185,Peru,41,87,14,47
186,Nigeria,30,22,7,19
187,China,82,75,72,76
188,Japan,98,87,26,70
189,China,65,44,66,58
190,Togo,5,51,24,26
191,France,39,51,41,43
192,Brazil,82,37,14,44
193,Israel,23,54,75,50
194,South Africa,37,39,36,37
195,Croatia,27,52,96,58
196,Belarus,35,28,21,28
197,Poland,2,88,70,53
198,Poland,45,24,45,38
199,Indonesia,82,2,80,54
200,Argentina,22,83,60,55
201,Indonesia,17,2,21,13
202,Chad,66,26,61,51
203,China,56,4,8,22
204,Ireland,95,21,29,48
205,China,62,51,97,70
206,Swaziland,17,21,75,37
207,Iran,24,94,96,71
208,Niger,74,6,44,41
209,Portugal,34,31,17,27
210,Brazil,8,14,44,22
211,Indonesia,73,34,7,38
212,Indonesia,23,70,19,37
213,Russia,50,91,69,70
214,Ukraine,6,92,61,53
215,China,73,33,52,52
216,Brazil,72,15,21,36
217,Indonesia,17,12,66,31
218,Poland,29,23,20,24
219,Canada,47,73,82,67
220,China,51,84,64,66
221,Poland,41,32,29,34
222,China,98,61,46,68
223,Russia,47,38,100,61
224,Poland,17,6,6,9
225,China,93,56,78,75
226,China,47,48,93,62
227,Indonesia,65,52,72,63
228,Russia,65,10,10,28
229,Sweden,56,38,94,62
230,China,80,32,85,65
231,France,20,31,66,39
232,Peru,99,88,84,90
233,Sweden,25,24,9,19
234,Argentina,60,74,60,64
235,China,54,48,22,41
236,Russia,65,33,31,43
237,China,51,13,86,50
238,China,24,88,61,57
239,Portugal,32,92,10,44
240,Czech Republic,57,13,37,35
241,China,32,57,92,60
242,Brazil,9,1,47,19
243,China,8,20,53,27
244,Luxembourg,42,83,8,44
245,Sweden,10,78,68,52
246,China,73,88,61,74
247,Mauritius,34,10,91,45
248,Philippines,59,86,98,81
249,Brazil,68,32,5,35
250,South Korea,30,60,68,52
251,Philippines,8,97,30,45
252,Czech Republic,90,54,99,81
253,Sweden,60,23,29,37
254,China,64,95,71,76
255,Indonesia,91,24,62,59
256,Portugal,2,34,71,35
257,Cuba,56,69,71,65
258,China,83,70,95,82
259,Finland,3,79,46,42
260,Russia,81,41,25,49
261,Indonesia,94,13,5,37
262,Indonesia,78,27,88,64
263,Philippines,31,70,53,51
264,Brazil,1,68,62,43
265,Portugal,77,94,61,77
266,Azerbaijan,44,49,85,59
267,China,17,27,1,15
268,China,21,52,26,33
269,China,93,23,75,63
270,Indonesia,16,85,84,61
271,Indonesia,18,65,62,48
272,Afghanistan,37,98,18,51
273,Philippines,67,41,55,54
274,Estonia,70,25,85,60
275,United States,35,69,66,56
276,Philippines,82,18,51,50
277,Taiwan,32,71,52,51
278,Peru,57,21,51,43
279,China,38,33,87,52
280,Somalia,35,18,26,26
281,Russia,53,43,33,43
282,United States,26,34,6,22
283,Philippines,0,40,18,19
284,China,9,96,89,64
285,Philippines,96,71,12,59
286,Colombia,18,3,64,28
287,Indonesia,72,5,35,37
288,Argentina,16,49,48,37
289,Philippines,69,92,11,57
290,Sweden,84,47,34,55
291,Albania,0,3,95,32
292,Colombia,59,45,86,63
293,Ukraine,61,25,18,34
294,Ukraine,38,37,98,57
295,Brazil,53,8,27,29
296,France,36,86,46,56
297,Croatia,60,39,4,34
298,Poland,31,24,44,33
299,Indonesia,7,69,67,47
300,Israel,79,1,100,60
301,France,27,46,80,51
302,United States,38,13,38,29
303,Portugal,64,14,45,41
304,Spain,98,14,88,66
305,France,82,25,97,68
306,Japan,94,90,6,63
307,Indonesia,84,24,5,37
308,China,49,4,50,34
309,Albania,34,54,83,57
310,Japan,15,57,2,24
311,China,89,33,21,47
312,Philippines,58,0,61,39
313,Mexico,51,86,84,73
314,China,54,19,58,43
315,Dominican Republic,37,38,42,39
316,Costa Rica,32,72,33,45
317,China,82,1,19,34
318,China,10,89,16,38
319,Chile,37,42,43,40
320,Poland,87,35,22,48
321,Ethiopia,21,74,85,60
322,Indonesia,26,17,46,29
323,China,36,87,25,49
324,Brazil,70,61,63,64
325,Poland,40,28,48,38
326,Poland,14,67,30,37
327,Sweden,11,62,31,34
328,Russia,8,7,57,24
329,Brazil,60,72,35,55
330,Portugal,9,3,78,30
331,Czech Republic,76,87,59,74
332,Portugal,71,91,87,83
333,Serbia,49,100,74,74
334,Ukraine,67,3,82,50
335,Mauritius,11,49,69,43
336,France,9,9,89,35
337,Mexico,98,10,78,62
338,Colombia,34,43,15,30
