student_id,grade_math,grade_science,grade_english,Final_score
1,68,80,15,54
2,29,30,60,39
3,76,0,55,43
4,82,88,90,86
5,77,23,11,37
6,44,78,30,50
7,100,61,90,83
8,98,81,59,79
9,35,51,41,42
10,46,38,16,33
11,89,40,65,64
12,80,47,53,60
13,95,30,49,58
14,60,89,12,53
15,61,27,32,40
16,56,2,41,33
17,23,72,90,61
18,78,98,95,90
19,28,40,3,23
20,100,6,55,53
21,63,81,12,52
22,38,67,74,59
23,82,88,27,65
24,71,6,26,34
25,78,97,8,61
26,20,34,76,43
27,51,60,18,43
28,87,94,92,91
29,76,66,68,70
30,32,62,80,58
31,41,15,93,49
32,90,95,63,82
33,87,4,74,55
34,12,55,88,51
35,0,14,69,27
36,31,55,9,31
37,81,33,31,48
38,24,18,16,19
39,41,1,12,18
40,97,66,64,75
41,73,1,96,56
42,62,41,74,59
43,87,92,50,76
44,7,70,79,52
45,19,47,90,52
46,53,57,21,43
47,16,67,12,31
48,69,10,60,46
49,89,5,99,64
50,90,16,44,50
51,77,78,13,56
52,54,28,41,41
53,59,70,82,70
54,86,10,35,43
55,71,22,59,50
56,45,47,40,44
57,61,31,52,48
58,76,43,36,51
59,98,43,93,78
60,21,65,91,59
61,82,34,18,44
62,61,26,33,40
63,82,35,16,44
64,39,94,83,72
65,6,44,11,20
66,62,90,39,63
67,71,78,16,55
68,91,64,63,72
69,100,27,54,60
70,34,57,63,51
71,21,16,63,33
72,31,65,26,40
73,68,33,60,53
74,9,91,29,43
75,79,2,82,54
76,10,61,86,52
77,83,81,20,61
78,34,20,71,41
79,31,48,5,28
80,26,15,51,30
81,81,72,51,68
82,13,27,62,34
83,44,78,55,59
84,79,18,29,42
85,69,96,50,71
86,62,99,6,55
87,95,46,73,71
88,37,47,76,53
89,74,90,5,56
90,22,25,68,38
91,89,88,12,63
92,37,18,43,32
93,3,51,4,19
94,91,88,41,73
95,13,10,57,26
96,38,81,84,67
97,94,49,31,58
98,36,81,53,56
99,67,55,13,45
100,84,28,57,56
101,44,90,68,67
102,60,34,71,55
103,39,18,3,20
104,22,68,70,53
105,12,31,4,15
106,45,85,47,59
107,24,38,31,31
108,37,40,50,42
109,92,45,61,66
110,55,43,72,56
111,47,33,7,29
112,16,26,42,28
113,48,79,11,46
114,72,76,41,63
115,59,70,80,69
116,4,73,19,32
117,57,74,92,74
118,20,16,1,12
119,73,42,28,47
120,26,40,19,28
121,17,95,71,61
122,79,67,63,69
123,65,90,72,75
124,35,70,0,35
125,22,4,60,28
126,94,2,78,58
127,35,69,12,38
128,16,31,25,24
129,9,7,48,21
130,55,52,87,64
131,63,14,99,58
132,8,60,42,36
133,64,28,97,63
134,42,92,11,48
135,86,44,20,50
136,37,86,53,58
137,61,3,35,33
138,67,94,70,77
139,60,67,79,68
140,17,78,69,54
141,15,78,70,54
142,17,49,27,31
143,3,73,20,32
144,18,35,100,51
145,7,30,94,43
146,65,28,36,43
147,40,2,91,44
148,49,41,36,42
149,50,5,99,51
150,19,84,55,52
151,99,96,77,90
152,94,26,68,62
153,66,1,80,49
154,61,14,98,57
155,78,94,34,68
156,26,1,9,12
157,20,95,77,64
158,94,32,85,70
159,13,5,48,22
160,5,88,47,46
161,6,40,56,34
162,31,54,83,56
163,50,43,93,62
164,78,41,10,43
165,91,33,83,69
166,34,13,38,28
167,88,89,14,63
168,54,56,0,36
169,83,41,76,66
170,73,41,65,59
171,19,2,90,37
172,8,43,47,32
173,30,48,40,39
174,24,25,20,23
175,55,45,14,38
176,68,28,20,38
177,15,30,81,42
178,77,69,96,80
179,31,31,14,25
180,56,75,24,51
181,89,35,33,52
182,44,64,79,62
183,86,91,99,92
184,6,35,16,19
185,41,87,14,47
186,30,22,7,19
187,82,75,72,76
188,98,87,26,70
189,65,44,66,58
190,5,51,24,26
191,39,51,41,43
192,82,37,14,44
193,23,54,75,50
194,37,39,36,37
195,27,52,96,58
196,35,28,21,28
197,2,88,70,53
198,45,24,45,38
199,82,2,80,54
200,22,83,60,55
201,17,2,21,13
202,66,26,61,51
203,56,4,8,22
204,95,21,29,48
205,62,51,97,70
206,17,21,75,37
207,24,94,96,71
208,74,6,44,41
209,34,31,17,27
210,8,14,44,22
211,73,34,7,38
212,23,70,19,37
213,50,91,69,70
214,6,92,61,53
215,73,33,52,52
216,72,15,21,36
217,17,12,66,31
218,29,23,20,24
219,47,73,82,67
220,51,84,64,66
221,41,32,29,34
222,98,61,46,68
223,47,38,100,61
224,17,6,6,9
225,93,56,78,75
226,47,48,93,62
227,65,52,72,63
228,65,10,10,28
229,56,38,94,62
230,80,32,85,65
231,20,31,66,39
232,99,88,84,90
233,25,24,9,19
234,60,74,60,64
235,54,48,22,41
236,65,33,31,43
237,51,13,86,50
238,24,88,61,57
239,32,92,10,44
240,57,13,37,35
241,32,57,92,60
242,9,1,47,19
243,8,20,53,27
244,42,83,8,44
245,10,78,68,52
246,73,88,61,74
247,34,10,91,45
248,59,86,98,81
249,68,32,5,35
250,30,60,68,52
251,8,97,30,45
252,90,54,99,81
253,60,23,29,37
254,64,95,71,76
255,91,24,62,59
256,2,34,71,35
257,56,69,71,65
258,83,70,95,82
259,3,79,46,42
260,81,41,25,49
261,94,13,5,37
262,78,27,88,64
263,31,70,53,51
264,1,68,62,43
265,77,94,61,77
266,44,49,85,59
267,17,27,1,15
268,21,52,26,33
269,93,23,75,63
270,16,85,84,61
271,18,65,62,48
272,37,98,18,51
273,67,41,55,54
274,70,25,85,60
275,35,69,66,56
276,82,18,51,50
277,32,71,52,51
278,57,21,51,43
279,38,33,87,52
280,35,18,26,26
281,53,43,33,43
282,26,34,6,22
283,0,40,18,19
284,9,96,89,64
285,96,71,12,59
286,18,3,64,28
287,72,5,35,37
288,16,49,48,37
289,69,92,11,57
290,84,47,34,55
291,0,3,95,32
292,59,45,86,63
293,61,25,18,34
294,38,37,98,57
295,53,8,27,29
296,36,86,46,56
297,60,39,4,34
298,31,24,44,33
299,7,69,67,47
300,79,1,100,60
301,27,46,80,51
302,38,13,38,29
303,64,14,45,41
304,98,14,88,66
305,82,25,97,68
306,94,90,6,63
307,84,24,5,37
308,49,4,50,34
309,34,54,83,57
310,15,57,2,24
311,89,33,21,47
312,58,0,61,39
313,51,86,84,73
314,54,19,58,43
315,37,38,42,39
316,32,72,33,45
317,82,1,19,34
318,10,89,16,38
319,37,42,43,40
320,87,35,22,48
321,21,74,85,60
322,26,17,46,29
323,36,87,25,49
324,70,61,63,64
325,40,28,48,38
326,14,67,30,37
327,11,62,31,34
328,8,7,57,24
329,60,72,35,55
330,9,3,78,30
331,76,87,59,74
332,71,91,87,83
333,49,100,74,74
334,67,3,82,50
335,11,49,69,43
336,9,9,89,35
337,98,10,78,62
338,34,43,15,30
339,64,91,26,60
340,68,36,66,56
341,89,47,89,75
342,69,44,92,68
343,98,58,6,54
344,4,73,85,54
345,37,10,72,39
346,22,76,5,34
347,96,36,4,45
348,31,13,81,41
349,22,65,42,43
350,82,56,99,79
351,23,91,35,49
352,82,7,58,49
353,99,53,57,69
354,32,27,58,39
355,74,68,31,57
356,5,80,49,44
357,13,48,81,47
358,99,23,15,45
359,61,59,76,65
360,47,45,69,53
361,18,75,71,54
362,63,32,38,44
363,65,9,27,33
364,4,2,71,25
365,89,55,21,55
366,100,17,84,67
367,84,35,20,46
368,49,5,16,23
369,50,94,96,80
370,56,97,17,56
371,47,68,39,51
372,36,86,77,66
373,89,22,93,68
374,80,64,5,49
375,2,10,21,11
376,81,46,98,75
377,74,5,55,44
378,44,75,29,49
379,42,31,49,40
380,94,83,17,64
381,7,85,43,45
382,98,80,50,76
383,85,78,49,70
384,48,24,34,35
385,77,87,95,86
386,58,12,47,39
387,48,28,36,37
388,85,60,57,67
389,40,16,7,21
390,15,40,89,48
391,12,96,100,69
392,48,87,8,47
393,36,78,88,67
394,15,68,93,58
395,93,72,40,68
396,14,92,70,58
397,5,60,22,29
398,35,14,32,27
399,32,76,78,62
400,16,48,37,33
401,21,32,58,37
402,42,61,33,45
403,59,71,73,67
404,43,93,66,67
405,53,67,79,66
406,63,96,18,59
407,43,30,59,44
408,42,61,97,66
409,50,71,8,43
410,71,49,89,69
411,64,2,54,40
412,96,23,35,51
413,50,14,67,43
414,47,1,17,21
415,90,27,92,69
416,22,76,61,53
417,17,16,0,11
418,52,8,72,44
419,57,38,28,41
420,61,69,28,52
421,86,0,28,38
422,38,81,85,68
423,12,5,19,12
424,78,65,24,55
425,1,41,43,28
426,96,44,32,57
427,20,11,65,32
428,45,44,34,41
429,97,94,59,83
430,91,83,3,59
431,13,68,54,45
432,49,10,2,20
433,49,20,86,51
434,90,35,17,47
435,92,25,64,60
436,22,12,84,39
437,0,44,17,20
438,58,5,23,28
439,2,76,78,52
440,54,88,18,53
441,45,75,23,47
442,65,5,61,43
443,39,10,91,46
444,37,40,91,56
445,80,75,1,52
446,62,79,27,56
447,85,72,19,58
448,56,63,3,40
449,24,67,57,49
450,12,9,64,28
451,98,14,11,41
452,74,41,33,49
453,23,1,26,16
454,91,0,40,43
455,97,12,48,52
456,37,37,45,39
457,56,11,12,26
458,41,78,18,45
459,94,21,15,43
460,23,23,89,45
461,13,29,85,42
462,21,6,47,24
463,92,76,6,58
464,55,2,93,50
465,34,95,5,44
